match_id,match_type,inning_team,over,ball,batsman,bowler,runs_batted,extras,total_runs,wicket
1001349,T20,Australia,1,1,AJ Finch,SL Malinga,0,0,0,0
1001349,T20,Australia,1,2,AJ Finch,SL Malinga,0,0,0,0
1001349,T20,Australia,1,3,AJ Finch,SL Malinga,1,0,1,0
1001349,T20,Australia,1,4,M Klinger,SL Malinga,2,0,2,0
1001349,T20,Australia,1,5,M Klinger,SL Malinga,0,0,0,0
1001349,T20,Australia,1,6,M Klinger,SL Malinga,3,0,3,0
1001349,T20,Australia,2,1,M Klinger,KMDN Kulasekara,0,0,0,0
1001349,T20,Australia,2,2,M Klinger,KMDN Kulasekara,1,0,1,0
1001349,T20,Australia,2,3,AJ Finch,KMDN Kulasekara,0,0,0,0
1001349,T20,Australia,2,4,AJ Finch,KMDN Kulasekara,0,0,0,0
1001349,T20,Australia,2,5,AJ Finch,KMDN Kulasekara,4,0,4,0
1001349,T20,Australia,2,6,AJ Finch,KMDN Kulasekara,2,0,2,0
1001349,T20,Australia,3,1,M Klinger,JRMVB Sanjaya,1,0,1,0
1001349,T20,Australia,3,2,AJ Finch,JRMVB Sanjaya,1,0,1,0
1001349,T20,Australia,3,3,M Klinger,JRMVB Sanjaya,0,0,0,0
1001349,T20,Australia,3,4,M Klinger,JRMVB Sanjaya,0,0,0,0
1001349,T20,Australia,3,5,M Klinger,JRMVB Sanjaya,4,0,4,0
1001349,T20,Australia,3,6,M Klinger,JRMVB Sanjaya,0,0,0,0
1001349,T20,Australia,4,1,AJ Finch,KMDN Kulasekara,0,0,0,0
1001349,T20,Australia,4,2,AJ Finch,KMDN Kulasekara,1,0,1,0
1001349,T20,Australia,4,3,M Klinger,KMDN Kulasekara,1,0,1,0
1001349,T20,Australia,4,4,AJ Finch,KMDN Kulasekara,1,0,1,0
1001349,T20,Australia,4,5,M Klinger,KMDN Kulasekara,4,0,4,0
1001349,T20,Australia,4,6,M Klinger,KMDN Kulasekara,1,0,1,0
1001349,T20,Australia,5,1,M Klinger,JRMVB Sanjaya,3,0,3,0
1001349,T20,Australia,5,2,AJ Finch,JRMVB Sanjaya,3,0,3,0
1001349,T20,Australia,5,3,M Klinger,JRMVB Sanjaya,4,0,4,0
1001349,T20,Australia,5,4,M Klinger,JRMVB Sanjaya,4,0,4,0
1001349,T20,Australia,5,5,M Klinger,JRMVB Sanjaya,1,0,1,0
1001349,T20,Australia,5,6,AJ Finch,JRMVB Sanjaya,1,0,1,0
1001349,T20,Australia,6,1,AJ Finch,S Prasanna,1,0,1,0
1001349,T20,Australia,6,2,M Klinger,S Prasanna,0,1,1,0
1001349,T20,Australia,6,3,M Klinger,S Prasanna,0,0,0,0
1001349,T20,Australia,6,4,M Klinger,S Prasanna,0,0,0,0
1001349,T20,Australia,6,5,M Klinger,S Prasanna,1,0,1,0
1001349,T20,Australia,6,6,AJ Finch,S Prasanna,1,0,1,0
1001349,T20,Australia,6,7,M Klinger,S Prasanna,0,0,0,0
1001349,T20,Australia,7,1,AJ Finch,PADLR Sandakan,1,0,1,0
1001349,T20,Australia,7,2,M Klinger,PADLR Sandakan,1,0,1,0
1001349,T20,Australia,7,3,AJ Finch,PADLR Sandakan,0,0,0,0
1001349,T20,Australia,7,4,AJ Finch,PADLR Sandakan,1,0,1,0
1001349,T20,Australia,7,5,M Klinger,PADLR Sandakan,1,0,1,0
1001349,T20,Australia,7,6,AJ Finch,PADLR Sandakan,2,0,2,0
1001349,T20,Australia,8,1,M Klinger,S Prasanna,0,0,0,0
1001349,T20,Australia,8,2,M Klinger,S Prasanna,1,0,1,0
1001349,T20,Australia,8,3,AJ Finch,S Prasanna,1,0,1,0
1001349,T20,Australia,8,4,M Klinger,S Prasanna,0,1,1,0
1001349,T20,Australia,8,5,AJ Finch,S Prasanna,4,0,4,0
1001349,T20,Australia,8,6,AJ Finch,S Prasanna,1,0,1,0
1001349,T20,Australia,9,1,AJ Finch,PADLR Sandakan,1,0,1,0
1001349,T20,Australia,9,2,M Klinger,PADLR Sandakan,3,0,3,0
1001349,T20,Australia,9,3,AJ Finch,PADLR Sandakan,1,0,1,0
1001349,T20,Australia,9,4,M Klinger,PADLR Sandakan,0,0,0,0
1001349,T20,Australia,9,5,M Klinger,PADLR Sandakan,0,0,0,0
1001349,T20,Australia,9,6,M Klinger,PADLR Sandakan,1,0,1,0
1001349,T20,Australia,10,1,M Klinger,S Prasanna,1,0,1,0
1001349,T20,Australia,10,2,AJ Finch,S Prasanna,0,0,0,0
1001349,T20,Australia,10,3,AJ Finch,S Prasanna,0,0,0,0
1001349,T20,Australia,10,4,AJ Finch,S Prasanna,0,0,0,0
1001349,T20,Australia,10,5,AJ Finch,S Prasanna,6,0,6,0
1001349,T20,Australia,10,6,AJ Finch,S Prasanna,1,0,1,0
1001349,T20,Australia,11,1,AJ Finch,PADLR Sandakan,0,0,0,0
1001349,T20,Australia,11,2,AJ Finch,PADLR Sandakan,0,1,1,0
1001349,T20,Australia,11,3,M Klinger,PADLR Sandakan,0,0,0,1
1001349,T20,Australia,11,4,TM Head,PADLR Sandakan,2,0,2,0
1001349,T20,Australia,11,5,TM Head,PADLR Sandakan,0,0,0,0
1001349,T20,Australia,11,6,TM Head,PADLR Sandakan,0,0,0,0
1001349,T20,Australia,12,1,AJ Finch,DAS Gunaratne,6,0,6,0
1001349,T20,Australia,12,2,AJ Finch,DAS Gunaratne,2,0,2,0
1001349,T20,Australia,12,3,AJ Finch,DAS Gunaratne,0,0,0,1
1001349,T20,Australia,12,4,TM Head,DAS Gunaratne,1,0,1,0
1001349,T20,Australia,12,5,MC Henriques,DAS Gunaratne,1,0,1,0
1001349,T20,Australia,12,6,TM Head,DAS Gunaratne,1,0,1,0
1001349,T20,Australia,13,1,TM Head,S Prasanna,0,0,0,0
1001349,T20,Australia,13,2,TM Head,S Prasanna,1,0,1,0
1001349,T20,Australia,13,3,MC Henriques,S Prasanna,1,0,1,0
1001349,T20,Australia,13,4,TM Head,S Prasanna,0,0,0,0
1001349,T20,Australia,13,5,TM Head,S Prasanna,1,0,1,0
1001349,T20,Australia,13,6,MC Henriques,S Prasanna,1,0,1,0
1001349,T20,Australia,14,1,MC Henriques,SL Malinga,0,0,0,0
1001349,T20,Australia,14,2,MC Henriques,SL Malinga,0,1,1,0
1001349,T20,Australia,14,3,MC Henriques,SL Malinga,1,0,1,0
1001349,T20,Australia,14,4,TM Head,SL Malinga,2,0,2,0
